time,open,high,low,close,volume
1568764800,0.01347,0.01486,0.01335,0.01432,300820774.39999998
1568851200,0.01432,0.01443,0.01291,0.01366,198458620.19999999
1568937600,0.01374,0.01388,0.01338,0.01363,56120816.5
1569024000,0.01362,0.01366,0.01313,0.01331,48485065.1
1569110400,0.01335,0.01336,0.01234,0.01252,83065792.8
1569196800,0.01252,0.01305,0.01215,0.01224,64180261.9
1569283200,0.01219,0.01348,0.0105,0.01088,270931468.10000002
1569369600,0.01095,0.0118,0.01037,0.01098,156085317.80000001
1569456000,0.01096,0.01153,0.01,0.01059,124237242.59999999
1569542400,0.01067,0.011,0.01033,0.01082,75524737
1569628800,0.01082,0.01136,0.01073,0.01121,137111918
1569715200,0.01123,0.01128,0.01062,0.01087,74017670.59999999
1569801600,0.01087,0.0111,0.01001,0.0109,163662456
1569888000,0.01089,0.01112,0.01055,0.01069,110743093
1569974400,0.01065,0.01097,0.01047,0.01081,68962300.2
1570060800,0.01081,0.01092,0.01039,0.01054,48399668.7
1570147200,0.01055,0.01074,0.01031,0.01055,48311449.9
1570233600,0.01055,0.01064,0.01038,0.01048,39459278
1570320000,0.01048,0.01059,0.01005,0.01016,65066229.1
1570406400,0.01013,0.01112,0.01003,0.01091,206810304.90000001
1570492800,0.0109,0.0128,0.01067,0.01244,341305266.5
1570579200,0.01243,0.0145,0.0123,0.01444,552149785.60000002
1570665600,0.01444,0.0171,0.01338,0.0161,507302441.10000002
1570752000,0.0161,0.01766,0.01529,0.0158,776515586
1570838400,0.0158,0.0165,0.01452,0.01555,495026909.39999998
1570924800,0.01555,0.01568,0.01408,0.01494,225545366
1571011200,0.01493,0.01672,0.01485,0.01522,475384929.10000002
1571097600,0.01523,0.01539,0.01411,0.01437,240211695.5
1571184000,0.01434,0.01447,0.01283,0.01386,255790740
1571270400,0.01386,0.01458,0.01348,0.01425,183009067.30000001
1571356800,0.01425,0.01443,0.013,0.01334,190539827.5
1571443200,0.01333,0.01389,0.01302,0.01376,136027755.19999999
1571529600,0.01376,0.01403,0.0132,0.01376,127160718.2
1571616000,0.0138,0.01516,0.01354,0.01491,336082470.10000002
1571702400,0.01491,0.01533,0.0143,0.01443,242262152.90000001
1571788800,0.01443,0.01463,0.01259,0.01326,332302515.89999998
1571875200,0.01322,0.01383,0.01289,0.01338,176823245.59999999
1571961600,0.01338,0.01474,0.013,0.01435,319745672.80000001
1572048000,0.01438,0.01489,0.01316,0.01348,381110868.10000002
1572134400,0.01348,0.01464,0.01333,0.01402,250305672.5
1572220800,0.01403,0.01515,0.01391,0.01398,299848970.19999999
1572307200,0.01399,0.01443,0.01378,0.01409,176630436.09999999
1572393600,0.01409,0.01414,0.01326,0.0134,128502634.09999999
1572480000,0.01341,0.01388,0.01324,0.0136,104160241.7
1572566400,0.0136,0.01406,0.01336,0.01377,91318676.40000001
1572652800,0.01377,0.0139,0.0134,0.01353,78503532.2
1572739200,0.01354,0.01373,0.01329,0.01354,73641398.40000001
1572825600,0.01354,0.01461,0.01351,0.01432,233424567
1572912000,0.01428,0.01514,0.01395,0.0147,267620780.09999999
1572998400,0.01465,0.01486,0.0143,0.01447,150238377.90000001
1573084800,0.01446,0.01542,0.01421,0.01512,237761244.40000001
1573171200,0.01512,0.01546,0.01379,0.01432,236014058.80000001
1573257600,0.01432,0.01523,0.01428,0.01491,162345921.59999999
